alert_or_pattern,likely_root_causes,data_to_check,owner,severity_default,recommended_next_action
Actual = 0 and expected > 0 during daylight,Full site outage; POI breaker open; utility outage; DAS data loss,meter_energy_kwh; current_power_kw; breaker_status; recloser_status; inverter_status; das_heartbeat,O&M,critical,Confirm whether revenue meter is also zero; check POI breaker/recloser and inverter fleet status.
PI < 75% and availability < 90%,Equipment outage; inverter offline; utility outage; curtailment not tagged,inverter_status; availability; curtailment_flag; grid_voltage_kv; event log,O&M,critical,Create/confirm O&M ticket and estimate lost MWh since start time.
PI < 90% and availability = 100%,Soiling; vegetation; tracker issue; model/sensor issue; partial derate,poa_irradiance_wm2; tracker_angle_deg; inverter_ac_power_kw; expected_energy_kwh; weather,Asset Management,medium,"Compare clear-day curve, inverter-level output, and irradiance sensor health before dispatch."
PI > 125%,Expected model stale; bad irradiance sensor; backfilled meter data; wrong capacity; snow albedo/bifacial gain,expected_energy_kwh; poa_irradiance_wm2; meter_energy_kwh; ac_capacity_kw; recent config changes,DAS/SCADA Provider,medium,Validate expected model inputs and meter scaling; do not mark as positive performance until confirmed.
Data flatline during daylight,DAS communication issue; device offline; frozen data feed,timestamp_utc; das_heartbeat; current_power_kw; meter_energy_kwh,DAS/SCADA Provider,high,Check last valid timestamp and compare with revenue meter or utility portal.
Revenue meter and SCADA differ > 5%,Scaling error; missing intervals; meter replacement; CT/PT issue; backfill lag,meter_energy_kwh; scada_energy_kwh; meter_scada_delta_pct; meter config,DAS/SCADA Provider,high,Reconcile meter vs SCADA and verify CT/PT ratios and data interval completeness.
One inverter at 0 while peers producing,Inverter fault; blown fuse; AC/DC disconnect open; comms on one inverter,inverter_ac_power_kw; inverter_status; inverter_fault_code; string current,O&M,high,Check inverter fault code and compare DC input/string current to peer inverter.
Several inverters offline simultaneously,Grid event; MV equipment issue; plant controller; communication outage,breaker_status; grid_voltage_kv; inverter_status; das_heartbeat; relay logs,O&M,critical,Check whether failures share a transformer/MV feeder/communication gateway.
Tracker actual angle not following target,Tracker controller fault; stow; motor/power issue; network issue; wind event,tracker_angle_deg; tracker_target_angle_deg; wind_speed_ms; tracker alarms,O&M,medium,"Confirm if stow is commanded; if not, inspect affected tracker block."
High irradiance but low power,Derate; clipping; inverter issue; soiling; tracker; curtailment,poa_irradiance_wm2; current_power_kw; inverter_ac_power_kw; curtailment_flag; temp,Asset Management,high,Compare normalized power to clear-day baseline and check curtailment flag.
Low expected energy across many sites,Weather model issue; expected engine outage; shared data feed issue,expected_energy_kwh across portfolio; weather feed status; model timestamp,DAS/SCADA Provider,medium,Check portfolio-wide expected model generation and weather feed freshness.
Rule failure configuration,Missing mapping; wrong site metadata; threshold not configured,rule config; site metadata; device map,Asset Management,low,Fix configuration before using alert as operational evidence.
